slno,keywords_in_comments
10697,treatise
10698,shiva
10699,"son,rishi"
10700,
10702,
10703,
10704,"Name,v,man"
10705,BhP.
10706,man
10708,wife
10710,shBr
10711,
10712,"plant,fruits"
10713,"son,prince,BhP."
10714,"town,ii"
10715,"commentator,.,MBh"
10716,
10717,
10718,
10719,
10720,
10721,
10722,
10723,"hunter,MBh"
10724,man
10725,"Name,iv,chapter"
10726,"feet,Name,class,metre"
10727,"citraratha,man"
10728,BhP.
10729,VamP.
10730,"metres,cf,work,jurisprudence"
10731,
10732,
10734,son
10735,merchants
10736,work
10737,
10738,"work,art"
10739,work
10740,
10742,
10743,man
10744,
10745,"Name,texts"
10746,merchant
10747,"Name,text"
10748,"Name,mīmāṉsā,mimaṉsa,texts"
10749,minister
10750,day
10751,births
10752,faculty
10753,son
10754,demon
10755,
10756,"Name,work"
10757,
10759,MBh
10760,"spasm,bones,jaw,disease"
10761,
10762,MBh
10763,
10764,
10765,Suryapr
10766,
10767,
10768,
10769,form
10770,constellation
10771,"figure,form"
10772,
10773,
10774,
10775,poet
10776,"Name,followers"
10777,"metres,Name"
10778,
10779,
10780,"vowels,pronunciation"
10781,
10782,work
10783,
10784,hymn
10785,"west,mountain"
10786,
10787,hells
10788,chapter
10789,
10790,
10791,poet
10792,man
10793,"demon,disease"
10794,aditya
10796,man
10797,
10798,
10799,teachers
10800,teachers
10801,"action,part"
10802,
10803,shBr
10804,
10805,"gods,shBr"
10807,
10809,
10810,nun
10811,
10812,
10813,"capital,peak"
10814,town
10815,"mountains,river,MBh"
10816,
10817,
10818,
10819,weapon
10820,king
10821,shiva
10822,"siṉha,A.D.,minister"
10823,
10824,Name
10825,prince
10826,work
10827,"meditation,kind"
10828,
10829,shiva
10830,plant
10832,MBh
10833,PBr
10834,king
10835,animal
10836,plant
10837,animal
10838,"commentary,chapter"
10839,
10840,
10841,
10842,plant
10843,"L.,shrub"
10844,plant
10845,poet
10846,man
10847,
10848,"MBh,people"
10849,patron
10850,
10851,"lines,metre"
10852,"son,MBh"
10853,man
10854,"plant,root,flag"
10855,
10856,metre
10857,
10858,"part,author"
10859,
10860,
10861,river
10862,shBr
10865,
10866,
10867,
10868,"instrument,shankhshr"
10869,country
10870,man
10871,BhP.
10872,"L.,tree"
10873,poet
10874,text
10875,shBr
10876,man
10877,"Name,shamkaravijaya,chapter"
10878,"Name,work,chapter"
10879,
10880,"son,descendant,man"
10881,
10882,
10883,"philosopher,shaiva"
10884,
10885,school
10886,
10887,river
10888,king
10889,town
10890,
10891,wife
10892,son
10893,king
10895,woman
10896,man
10897,sanctuary
10899,river
10900,
10901,place
10902,
10903,Buddh
10904,Buddh
10905,demon
10906,"kings,town,residence,BhP."
10907,
10908,owl
10909,
10910,"world,spirit"
10911,
10912,city
10913,"Name,school"
10914,son
10915,metre
10916,woman
10917,poet
10918,
10919,
10920,insect
10921,
10922,"rishi,patron"
